iter	Logloss
0	0.5534500114
1	0.452505292
2	0.3714929156
3	0.3109176731
4	0.266647866
5	0.2321432086
6	0.2043824808
7	0.1825384341
8	0.1711548062
9	0.1558973891
10	0.14257096
11	0.1325187851
12	0.1237258623
13	0.117045262
14	0.111402661
15	0.1055968151
16	0.1008596877
17	0.09739336943
18	0.09330015201
19	0.08956774231
20	0.08718074864
21	0.08475668418
22	0.08213191435
23	0.08039269756
24	0.07927463801
25	0.07781856646
26	0.0764351302
27	0.07441580248
28	0.07346486599
29	0.07158029466
30	0.06932157886
31	0.06776246025
32	0.06603189159
33	0.0645017996
34	0.06335209896
35	0.06250805216
36	0.0613901827
37	0.06006671022
38	0.05917952077
39	0.05861959875
40	0.05755665807
41	0.05701669102
42	0.05644897508
43	0.05598305642
44	0.05528592463
45	0.0545863019
46	0.05387398548
47	0.05337658703
48	0.05282688375
49	0.05180590853
50	0.05131544345
51	0.05078881087
52	0.04964094989
53	0.04929192773
54	0.04837635943
55	0.0481069996
56	0.04770804366
57	0.0473548701
58	0.04703765772
59	0.04674108256
60	0.04646551681
61	0.04563785698
62	0.04505388657
63	0.04444779103
64	0.04415132799
65	0.04387120349
66	0.04295954467
67	0.04243212553
68	0.04154096727
69	0.0407421831
70	0.03995906206
71	0.03969119286
72	0.03946153303
73	0.03922598927
74	0.03867312178
75	0.03853319976
76	0.03810130801
77	0.03788116675
78	0.03767598408
79	0.03756890718
80	0.03698911142
81	0.03651635909
82	0.03603586253
83	0.03549250262
84	0.03536672621
85	0.03507605871
86	0.03494229244
87	0.03473610733
88	0.03427526785
89	0.03413162355
90	0.03366175236
91	0.03353214368
92	0.03293202434
93	0.0326535075
94	0.03215726258
95	0.03200357188
96	0.03184255759
97	0.03151580096
98	0.03115481706
99	0.03057758391
100	0.03047734394
101	0.03032769114
102	0.03020312852
103	0.02976944096
104	0.02955758269
105	0.02926000449
106	0.0287783839
107	0.0283334957
108	0.02799110727
109	0.02774231299
110	0.02745826648
111	0.02731798052
112	0.02723228014
113	0.02690017774
114	0.02646374836
115	0.02618426337
116	0.02611720637
